Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHARTIARTL,EQ,28-04-2015,391,389,409.5,383.4,397.35,400.75,393.24,5188517,2040346809,59578,2101281,40.5
BHARTIARTL,EQ,29-04-2015,400.75,394,402.5,383.9,385.3,387.35,396.24,11248419,4457124546,151344,7130191,63.39
BHARTIARTL,EQ,30-04-2015,387.35,387.45,388,371.8,382,381.1,378.21,8223433,3110175551,118336,5700744,69.32
BHARTIARTL,EQ,04-05-2015,381.1,373.6,394.1,373.6,392.6,392.9,385.98,4528827,1748053088,58707,2938106,64.88
BHARTIARTL,EQ,05-05-2015,392.9,392,392,382.5,387.5,387.05,386.06,2442992,943131337.5,40209,1342826,54.97
BHARTIARTL,EQ,06-05-2015,387.05,393.3,405,386,389.35,390.2,397.34,13587701,5398959077,181817,7615548,56.05
BHARTIARTL,EQ,07-05-2015,390.2,389.9,400.5,385.35,393.35,393.65,394.94,7914843,3125904763,147202,4697389,59.35
BHARTIARTL,EQ,08-05-2015,393.65,397,400,394.1,397.95,397.95,398.11,5742562,2286170605,123872,4035946,70.28
BHARTIARTL,EQ,11-05-2015,397.95,397,402.75,394.7,398.45,396.2,399.19,4325644,1726734807,67221,3288486,76.02
BHARTIARTL,EQ,12-05-2015,396.2,396.5,399.35,388.95,391,391.55,394.73,6246245,2465549059,94600,4643500,74.34
BHARTIARTL,EQ,13-05-2015,391.55,396,400,380.7,382.15,382.55,387.57,5804576,2249655141,108244,3640056,62.71
BHARTIARTL,EQ,14-05-2015,382.55,382,392.2,380.9,386.7,386,387.21,4943211,1914039109,121373,2603728,52.67
BHARTIARTL,EQ,15-05-2015,386,388,395,387,391.6,392,391.9,3895796,1526759270,83924,2533537,65.03
BHARTIARTL,EQ,18-05-2015,392,394,399.8,392,399.1,397.45,396.9,4385982,1740815979,88228,3092473,70.51
BHARTIARTL,EQ,19-05-2015,397.45,398.9,405,395.1,395.2,398,399.73,5446018,2176931274,74277,3822550,70.19
BHARTIARTL,EQ,20-05-2015,398,397.25,403.85,396.85,400,400.55,400.74,5088247,2039072018,87821,3538869,69.55
BHARTIARTL,EQ,21-05-2015,400.55,401,402.7,393.5,394.7,396.45,398.86,2549715,1016988373,65608,1509115,59.19
BHARTIARTL,EQ,22-05-2015,396.45,395.5,398.7,390.65,393.15,394.9,395.12,3235169,1278265189,58494,2157275,66.68
BHARTIARTL,EQ,25-05-2015,394.9,394.9,409,392.3,399,399.9,402.76,5388695,2170372124,76119,3152083,58.49
BHARTIARTL,EQ,26-05-2015,399.9,402,406.95,398.2,402,400.55,401.8,6289299,2527018750,64807,4502214,71.59
BHARTIARTL,EQ,27-05-2015,400.55,400.15,413.1,400.15,410.4,408.75,406.91,5060958,2059376246,65039,3494496,69.05
BHARTIARTL,EQ,28-05-2015,408.75,412,412.75,399.95,401.4,403,403.82,7227151,2918445862,93309,5013600,69.37
BHARTIARTL,EQ,29-05-2015,403,402.75,435,402.3,413.1,425.6,422.66,67772622,28644588035,282077,54335942,80.17
BHARTIARTL,EQ,01-06-2015,425.6,415.95,420.95,410.2,414.8,416.6,416.52,4260493,1774599175,56657,2340838,54.94
BHARTIARTL,EQ,02-06-2015,416.6,420.35,424.5,412.75,417.5,418.1,418.42,4289191,1794692398,117181,2055272,47.92
BHARTIARTL,EQ,03-06-2015,418.1,418.15,423,409.2,420,420.7,416.73,3654504,1522934010,128659,2032641,55.62
BHARTIARTL,EQ,04-06-2015,420.7,420.5,424.4,414,415.55,416.4,418.7,3272393,1370153278,134194,2003388,61.22
BHARTIARTL,EQ,05-06-2015,416.4,417,422.35,413.8,416,415.6,417.67,4981553,2080656134,155689,3527572,70.81
BHARTIARTL,EQ,08-06-2015,415.6,417.35,417.9,408.05,411.5,410.55,411.96,2846903,1172822918,63098,1726808,60.66
BHARTIARTL,EQ,09-06-2015,410.55,412,412,402.85,407.4,407.95,406.84,2715768,1104893185,42776,1682508,61.95
BHARTIARTL,EQ,10-06-2015,407.95,409.8,418.55,408.1,414.8,415.05,414.97,3421211,1419699713,65923,2357076,68.9
BHARTIARTL,EQ,11-06-2015,415.05,417.1,417.7,409.1,413,410.55,412,3095236,1275224865,66418,1949078,62.97
BHARTIARTL,EQ,12-06-2015,410.55,411.1,421.35,407.55,415.45,414.8,413.06,2279478,941570756.5,65164,1257620,55.17
BHARTIARTL,EQ,15-06-2015,414.8,417.8,418.4,411.6,413,413.65,414.43,2347669,972939117.1,30074,1440542,61.36
BHARTIARTL,EQ,16-06-2015,413.65,413.05,415.3,409.15,414.4,414.3,413.51,3862175,1597042266,34056,3021194,78.23
BHARTIARTL,EQ,17-06-2015,414.3,415.6,424.5,414.75,421,422.3,421.6,4384363,1848456286,54567,3093923,70.57
BHARTIARTL,EQ,18-06-2015,422.3,418.1,433.45,413.9,425.45,426.45,426.53,6193856,2641847694,81261,3477069,56.14
BHARTIARTL,EQ,19-06-2015,426.45,426.5,437.3,426.5,432.55,434,432.62,3377381,1461111920,56650,1784117,52.83
BHARTIARTL,EQ,22-06-2015,434,434.9,436,423.5,423.95,424.5,426.98,3727397,1591507768,68115,2217220,59.48
BHARTIARTL,EQ,23-06-2015,424.5,428.95,434.2,428.3,431.05,430.3,430.88,5237774,2256833245,78612,3621956,69.15
BHARTIARTL,EQ,24-06-2015,430.3,429,431.4,423.35,426.5,424.95,426.01,2581489,1099727871,55945,1761144,68.22
